species,flipper_length_mm,body_mass_g
Adelie,181,3750
Adelie,186,3800
Adelie,195,3250
Adelie,193,3450
Adelie,190,3650
Adelie,181,3625
Adelie,195,4675
Adelie,193,3475
Adelie,190,4250
Adelie,186,3300
Adelie,180,3700
Adelie,182,3200
Adelie,191,3800
Adelie,198,4400
Adelie,185,3700
Adelie,195,3450
Adelie,197,4500
Adelie,184,3325
Adelie,194,4200
Adelie,174,3400
Adelie,180,3600
Adelie,189,3800
Adelie,185,3950
Adelie,180,3800
Adelie,187,3800
Adelie,183,3550
Adelie,187,3200
Adelie,172,3150
Adelie,180,3950
Adelie,178,3250
Adelie,178,3900
Adelie,188,3300
Adelie,184,3900
Adelie,195,3325
Adelie,196,4150
Adelie,190,3950
Adelie,180,3550
Adelie,181,3300
Adelie,184,4650
Adelie,182,3150
Adelie,195,3900
Adelie,186,3100
Adelie,196,4400
Adelie,185,3000
Adelie,190,4600
Adelie,182,3425
Adelie,179,2975
Adelie,190,3450
Adelie,191,4150
Adelie,186,3500
Adelie,188,4300
Adelie,190,3450
Adelie,200,4050
Adelie,187,2900
Adelie,191,3700
Adelie,186,3550
Adelie,193,3800
Adelie,181,2850
Adelie,194,3750
Adelie,185,3150
Adelie,195,4400
Adelie,185,3600
Adelie,192,4050
Adelie,184,2850
Adelie,192,3950
Adelie,195,3350
Adelie,188,4100
Adelie,190,3050
Adelie,198,4450
Adelie,190,3600
Adelie,190,3900
Adelie,196,3550
Adelie,197,4150
Adelie,190,3700
Adelie,195,4250
Adelie,191,3700
Adelie,184,3900
Adelie,187,3550
Adelie,195,4000
Adelie,189,3200
Adelie,196,4700
Adelie,187,3800
Adelie,193,4200
Adelie,191,3350
Adelie,194,3550
Adelie,190,3800
Adelie,189,3500
Adelie,189,3950
Adelie,190,3600
Adelie,202,3550
Adelie,205,4300
Adelie,185,3400
Adelie,186,4450
Adelie,187,3300
Adelie,208,4300
Adelie,190,3700
Adelie,196,4350
Adelie,178,2900
Adelie,192,4100
Adelie,192,3725
Adelie,203,4725
Adelie,183,3075
Adelie,190,4250
Adelie,193,2925
Adelie,184,3550
Adelie,199,3750
Adelie,190,3900
Adelie,181,3175
Adelie,197,4775
Adelie,198,3825
Adelie,191,4600
Adelie,193,3200
Adelie,197,4275
Adelie,191,3900
Adelie,196,4075
Adelie,188,2900
Adelie,199,3775
Adelie,189,3350
Adelie,189,3325
Adelie,187,3150
Adelie,198,3500
Adelie,176,3450
Adelie,202,3875
Adelie,186,3050
Adelie,199,4000
Adelie,191,3275
Adelie,195,4300
Adelie,191,3050
Adelie,210,4000
Adelie,190,3325
Adelie,197,3500
Adelie,193,3500
Adelie,199,4475
Adelie,187,3425
Adelie,190,3900
Adelie,191,3175
Adelie,200,3975
Adelie,185,3400
Adelie,193,4250
Adelie,193,3400
Adelie,187,3475
Adelie,188,3050
Adelie,190,3725
Adelie,192,3000
Adelie,185,3650
Adelie,190,4250
Adelie,184,3475
Adelie,195,3450
Adelie,193,3750
Adelie,187,3700
Adelie,201,4000
Gentoo,211,4500
Gentoo,230,5700
Gentoo,210,4450
Gentoo,218,5700
Gentoo,215,5400
Gentoo,210,4550
Gentoo,211,4800
Gentoo,219,5200
Gentoo,209,4400
Gentoo,215,5150
Gentoo,214,4650
Gentoo,216,5550
Gentoo,214,4650
Gentoo,213,5850
Gentoo,210,4200
Gentoo,217,5850
Gentoo,210,4150
Gentoo,221,6300
Gentoo,209,4800
Gentoo,222,5350
Gentoo,218,5700
Gentoo,215,5000
Gentoo,213,4400
Gentoo,215,5050
Gentoo,215,5000
Gentoo,215,5100
Gentoo,216,4100
Gentoo,215,5650
Gentoo,210,4600
Gentoo,220,5550
Gentoo,222,5250
Gentoo,209,4700
Gentoo,207,5050
Gentoo,230,6050
Gentoo,220,5150
Gentoo,220,5400
Gentoo,213,4950
Gentoo,219,5250
Gentoo,208,4350
Gentoo,208,5350
Gentoo,208,3950
Gentoo,225,5700
Gentoo,210,4300
Gentoo,216,4750
Gentoo,222,5550
Gentoo,217,4900
Gentoo,210,4200
Gentoo,225,5400
Gentoo,213,5100
Gentoo,215,5300
Gentoo,210,4850
Gentoo,220,5300
Gentoo,210,4400
Gentoo,225,5000
Gentoo,217,4900
Gentoo,220,5050
Gentoo,208,4300
Gentoo,220,5000
Gentoo,208,4450
Gentoo,224,5550
Gentoo,208,4200
Gentoo,221,5300
Gentoo,214,4400
Gentoo,231,5650
Gentoo,219,4700
Gentoo,230,5700
Gentoo,214,4650
Gentoo,229,5800
Gentoo,220,4700
Gentoo,223,5550
Gentoo,216,4750
Gentoo,221,5000
Gentoo,221,5100
Gentoo,217,5200
Gentoo,216,4700
Gentoo,230,5800
Gentoo,209,4600
Gentoo,220,6000
Gentoo,215,4750
Gentoo,223,5950
Gentoo,212,4625
Gentoo,221,5450
Gentoo,212,4725
Gentoo,224,5350
Gentoo,212,4750
Gentoo,228,5600
Gentoo,218,4600
Gentoo,218,5300
Gentoo,212,4875
Gentoo,230,5550
Gentoo,218,4950
Gentoo,228,5400
Gentoo,212,4750
Gentoo,224,5650
Gentoo,214,4850
Gentoo,226,5200
Gentoo,216,4925
Gentoo,222,4875
Gentoo,203,4625
Gentoo,225,5250
Gentoo,219,4850
Gentoo,228,5600
Gentoo,215,4975
Gentoo,228,5500
Gentoo,216,4725
Gentoo,215,5500
Gentoo,210,4700
Gentoo,219,5500
Gentoo,208,4575
Gentoo,209,5500
Gentoo,216,5000
Gentoo,229,5950
Gentoo,213,4650
Gentoo,230,5500
Gentoo,217,4375
Gentoo,230,5850
Gentoo,217,4875
Gentoo,222,6000
Gentoo,214,4925
Gentoo,215,4850
Gentoo,222,5750
Gentoo,212,5200
Gentoo,213,5400
Chinstrap,192,3500
Chinstrap,196,3900
Chinstrap,193,3650
Chinstrap,188,3525
Chinstrap,197,3725
Chinstrap,198,3950
Chinstrap,178,3250
Chinstrap,197,3750
Chinstrap,195,4150
Chinstrap,198,3700
Chinstrap,193,3800
Chinstrap,194,3775
Chinstrap,185,3700
Chinstrap,201,4050
Chinstrap,190,3575
Chinstrap,201,4050
Chinstrap,197,3300
Chinstrap,181,3700
Chinstrap,190,3450
Chinstrap,195,4400
Chinstrap,181,3600
Chinstrap,191,3400
Chinstrap,187,2900
Chinstrap,193,3800
Chinstrap,195,3300
Chinstrap,197,4150
Chinstrap,200,3400
Chinstrap,200,3800
Chinstrap,191,3700
Chinstrap,205,4550
Chinstrap,187,3200
Chinstrap,201,4300
Chinstrap,187,3350
Chinstrap,203,4100
Chinstrap,195,3600
Chinstrap,199,3900
Chinstrap,195,3850
Chinstrap,210,4800
Chinstrap,192,2700
Chinstrap,205,4500
Chinstrap,210,3950
Chinstrap,187,3650
Chinstrap,196,3550
Chinstrap,196,3500
Chinstrap,196,3675
Chinstrap,201,4450
Chinstrap,190,3400
Chinstrap,212,4300
Chinstrap,187,3250
Chinstrap,198,3675
Chinstrap,199,3325
Chinstrap,201,3950
Chinstrap,193,3600
Chinstrap,203,4050
Chinstrap,187,3350
Chinstrap,197,3450
Chinstrap,191,3250
Chinstrap,203,4050
Chinstrap,202,3800
Chinstrap,194,3525
Chinstrap,206,3950
Chinstrap,189,3650
Chinstrap,195,3650
Chinstrap,207,4000
Chinstrap,202,3400
Chinstrap,193,3775
Chinstrap,210,4100
Chinstrap,198,3775
